Library	Name	Locator Type	Locator Value	Comments	
BNClient.dll	GatewayDomainName	Offset	0x1EDF8		
BNClient.dll	GatewayIpV4Address	Offset	0x1EEF8		
D2CMP.dll	CloseCelFile	Ordinal	10020		
D2CMP.dll	GetCelFromCelContext	Ordinal	10035		
D2Client.dll	DifficultyLevel	Offset	0x11D1D8	nDifficultyLevel	
D2Client.dll	DrawCenteredUnicodeText	Offset	0xBEC80		
D2Client.dll	GameType	Offset	0x11D1DC	gnGameType	0 = SP, 3 = BNet Join, 6 = OpenBNet Host, 7 = OpenBNet Join, 8 = TCP/IP Host, 9 = TCP/IP Join
D2Client.dll	GeneralDisplayHeight	Offset	0xF7038		
D2Client.dll	GeneralDisplayWidth	Offset	0xF7034		
D2Client.dll	GeneralPlayAreaCameraShiftX	Offset	0x11D074		
D2Client.dll	IngameMousePositionX	Offset	0x11C950		
D2Client.dll	IngameMousePositionY	Offset	0x11C94C		
D2Client.dll	InventoryArrangeMode	Offset	0x11D2B4		
D2Client.dll	IsAutomapOpen	Offset	0x11C8B8		
D2Client.dll	IsGameMenuOpen	Offset	0x11C8B4		
D2Client.dll	IsHelpScreenOpen	Offset	0x11C914		
D2Client.dll	IsNewSkillButtonPressed	Offset	0x11D31C		
D2Client.dll	IsNewStatsButtonPressed	Offset	0x11D318		
D2Client.dll	ScreenOpenMode	Offset	0x11D070		
D2Client.dll	ScreenShiftX	Offset	0x11D354		
D2Client.dll	ScreenShiftY	Offset	0x11D358		
D2Common.dll	GetGlobalBeltRecord	Ordinal	10370		
D2Common.dll	GetGlobalBeltSlotPosition	Ordinal	10689		
D2Common.dll	GetGlobalEquipmentSlotLayout	Ordinal	10441		
D2Common.dll	GetGlobalInventoryGridLayout	Ordinal	10964		
D2Common.dll	GetGlobalInventoryPosition	Ordinal	10770		
D2Common.dll	GlobalBeltsTxt	Offset	0xA4BA0	sgptBeltInitStats	
D2Common.dll	GlobalInventoryTxt	Offset	0xA4CAC	sgptInventoryInitStats	
D2Common.dll	GlobalInventoryTxtRecordsCount	Offset	0xA4CA8	sgnInventoryInitStats	
D2DDraw.dll	BitBlockHeight	Offset	0x100E8		
D2DDraw.dll	BitBlockWidth	Offset	0x100D8		
D2DDraw.dll	CelDisplayLeft	Offset	0xF380		
D2DDraw.dll	CelDisplayRight	Offset	0xF384		
D2DDraw.dll	DisplayHeight	Offset	0x100DC		
D2DDraw.dll	DisplayWidth	Offset	0x100E4		
D2Direct3D.dll	DisplayHeight	Offset	0x32DFC		
D2Direct3D.dll	DisplayWidth	Offset	0x3296C		
D2GDI.dll	BitBlockHeight	Offset	0xC980		
D2GDI.dll	BitBlockWidth	Offset	0xC970		
D2GDI.dll	CelDisplayLeft	Offset	0xCA94		
D2GDI.dll	CelDisplayRight	Offset	0xCA98		
D2GFX.dll	DrawCelContext	Ordinal	10042		
D2GFX.dll	DrawRectangle	Ordinal	10028		
D2GFX.dll	IsWindowedMode	Offset	0x14A3C		
D2GFX.dll	ResolutionMode	Offset	0x14A40	0 = 640x480, 1 = Main Menu, 2 = 800x600, 3 = 1344x700	
D2GFX.dll	VideoMode	Offset	0x14A38	1 = GDI, 2 = Software, 3 = DirectDraw, 4 = Glide, 5 = OpenGL, 6 = Direct3D, 7 = Rave	
D2GFX.dll	WindowHandle	Offset	0x14A44	gtGfxSystem.hWnd	
D2Glide.dll	DisplayHeight	Offset	0x15B14		
D2Glide.dll	DisplayWidth	Offset	0x15A78		
D2Lang.dll	GetStringByIndex	Ordinal	10004		
D2Win.dll	DrawUnicodeText	Ordinal	10076		
D2Win.dll	GetPopupUnicodeTextWidthAndHeight	Ordinal	10179		
D2Win.dll	GetUnicodeTextDrawWidth	Ordinal	10150		
D2Win.dll	GetUnicodeTextNDrawWidth	Ordinal	10148		
D2Win.dll	LoadCelFile	Ordinal	10023		
D2Win.dll	LoadMpq	Offset	0x7E50		
D2Win.dll	MainMenuMousePositionX	Offset	0x8DB1C		
D2Win.dll	MainMenuMousePositionY	Offset	0x8DB20		
D2Win.dll	SetPopUpUnicodeText	Ordinal	10137		
D2Win.dll	SetUnicodeTextFont	Ordinal	10047		
D2Win.dll	UnloadCelFile	Ordinal	10189		
D2Win.dll	UnloadMpq	Offset	0x78E0		
Fog.dll	AllocClientMemory	Ordinal	10042		
Fog.dll	FreeClientMemory	Ordinal	10043		
Storm.dll	SFileCloseArchive	Ordinal	252		
Storm.dll	SFileOpenArchive	Ordinal	266		
